col_lon_x;foglio;lat_y_dec;lon_x;lon_x__lat_y;lon_x_dec;lon_y;row_lat_y;tipo;x_6707_gsb;y_6707_gsb
0;411;41.2;9:0:0;9:0:0_41:12:0;9.0;41:12:0;0;ctr10;499920.124;4560847.835
1;411;41.2;9:5:0;9:5:0_41:12:0;9.083333333333334;41:12:0;0;ctr10;506907.48;4560851.078
2;411;41.2;9:10:0;9:10:0_41:12:0;9.166666666666666;41:12:0;0;ctr10;513894.826;4560861.041
3;411;41.2;9:15:0;9:15:0_41:12:0;9.25;41:12:0;0;ctr10;520882.202;4560877.686
4;411;41.2;9:20:0;9:20:0_41:12:0;9.333333333333334;41:12:0;0;ctr10;527869.598;4560901.021
0;411;41.25;9:0:0;9:0:0_41:15:0;9.0;41:15:0;1;ctr10;499920.217;4566398.557
1;411;41.25;9:5:0;9:5:0_41:15:0;9.083333333333334;41:15:0;1;ctr10;506902.245;4566401.808
2;411;41.25;9:10:0;9:10:0_41:15:0;9.166666666666666;41:15:0;1;ctr10;513884.267;4566411.777
3;411;41.25;9:15:0;9:15:0_41:15:0;9.25;41:15:0;1;ctr10;520866.311;4566428.44
4;411;41.25;9:20:0;9:20:0_41:15:0;9.333333333333334;41:15:0;1;ctr10;527848.37;4566451.804
0;411;41.3;9:0:0;9:0:0_41:18:0;9.0;41:18:0;2;ctr10;499920.305;4571949.342
1;411;41.3;9:5:0;9:5:0_41:18:0;9.083333333333334;41:18:0;2;ctr10;506897.0;4571952.6
2;411;41.3;9:10:0;9:10:0_41:18:0;9.166666666666666;41:18:0;2;ctr10;513873.695;4571962.575
3;411;41.3;9:15:0;9:15:0_41:18:0;9.25;41:18:0;2;ctr10;520850.407;4571979.249
4;411;41.3;9:20:0;9:20:0_41:18:0;9.333333333333334;41:18:0;2;ctr10;527827.13;4572002.624
0;411;41.35;9:0:0;9:0:0_41:21:0;9.0;41:21:0;3;ctr10;499920.39;4577500.177
1;411;41.35;9:5:0;9:5:0_41:21:0;9.083333333333334;41:21:0;3;ctr10;506891.748;4577503.44
2;411;41.35;9:10:0;9:10:0_41:21:0;9.166666666666666;41:21:0;3;ctr10;513863.111;4577513.421
3;411;41.35;9:15:0;9:15:0_41:21:0;9.25;41:21:0;3;ctr10;520834.486;4577530.103
4;411;41.35;9:20:0;9:20:0_41:21:0;9.333333333333334;41:21:0;3;ctr10;527805.871;4577553.486
0;411;41.4;9:0:0;9:0:0_41:24:0;9.0;41:24:0;4;ctr10;499920.47;4583051.061
1;411;41.4;9:5:0;9:5:0_41:24:0;9.083333333333334;41:24:0;4;ctr10;506886.486;4583054.327
2;411;41.4;9:10:0;9:10:0_41:24:0;9.166666666666666;41:24:0;4;ctr10;513852.513;4583064.312
3;411;41.4;9:15:0;9:15:0_41:24:0;9.25;41:24:0;4;ctr10;520818.549;4583080.999
4;411;41.4;9:20:0;9:20:0_41:24:0;9.333333333333334;41:24:0;4;ctr10;527784.594;4583104.384
0;412;41.2;9:20:0;9:20:0_41:12:0;9.333333333333334;41:12:0;0;ctr10;527869.598;4560901.021
1;412;41.2;9:25:0;9:25:0_41:12:0;9.416666666666666;41:12:0;0;ctr10;534856.917;4560931.128
2;412;41.2;9:30:0;9:30:0_41:12:0;9.5;41:12:0;0;ctr10;541844.295;4560967.839
3;412;41.2;9:35:0;9:35:0_41:12:0;9.583333333333334;41:12:0;0;ctr10;548831.72;4561011.176
4;412;41.2;9:40:0;9:40:0_41:12:0;9.666666666666666;41:12:0;0;ctr10;555819.138;4561061.165
0;412;41.25;9:20:0;9:20:0_41:15:0;9.333333333333334;41:15:0;1;ctr10;527848.37;4566451.804
1;412;41.25;9:25:0;9:25:0_41:15:0;9.416666666666666;41:15:0;1;ctr10;534830.365;4566481.924
2;412;41.25;9:30:0;9:30:0_41:15:0;9.5;41:15:0;1;ctr10;541812.427;4566518.634
3;412;41.25;9:35:0;9:35:0_41:15:0;9.583333333333334;41:15:0;1;ctr10;548794.542;4566561.957
4;412;41.25;9:40:0;9:40:0_41:15:0;9.666666666666666;41:15:0;1;ctr10;555776.656;4566611.945
0;412;41.3;9:20:0;9:20:0_41:18:0;9.333333333333334;41:18:0;2;ctr10;527827.13;4572002.624
1;412;41.3;9:25:0;9:25:0_41:18:0;9.416666666666666;41:18:0;2;ctr10;534803.813;4572032.722
2;412;41.3;9:30:0;9:30:0_41:18:0;9.5;41:18:0;2;ctr10;541780.551;4572069.428
3;412;41.3;9:35:0;9:35:0_41:18:0;9.583333333333334;41:18:0;2;ctr10;548757.335;4572112.762
4;412;41.3;9:40:0;9:40:0_41:18:0;9.666666666666666;41:18:0;2;ctr10;555734.127;4572162.759
0;412;41.35;9:20:0;9:20:0_41:21:0;9.333333333333334;41:21:0;3;ctr10;527805.871;4577553.486
1;412;41.35;9:25:0;9:25:0_41:21:0;9.416666666666666;41:21:0;3;ctr10;534777.235;4577583.564
2;412;41.35;9:30:0;9:30:0_41:21:0;9.5;41:21:0;3;ctr10;541748.643;4577620.266
3;412;41.35;9:35:0;9:35:0_41:21:0;9.583333333333334;41:21:0;3;ctr10;548720.09;4577663.609
4;412;41.35;9:40:0;9:40:0_41:21:0;9.666666666666666;41:21:0;3;ctr10;555691.554;4577713.617
0;412;41.4;9:20:0;9:20:0_41:24:0;9.333333333333334;41:24:0;4;ctr10;527784.594;4583104.384
1;412;41.4;9:25:0;9:25:0_41:24:0;9.416666666666666;41:24:0;4;ctr10;534750.631;4583134.442
2;412;41.4;9:30:0;9:30:0_41:24:0;9.5;41:24:0;4;ctr10;541716.703;4583171.141
3;412;41.4;9:35:0;9:35:0_41:24:0;9.583333333333334;41:24:0;4;ctr10;548682.807;4583214.494
4;412;41.4;9:40:0;9:40:0_41:24:0;9.666666666666666;41:24:0;4;ctr10;555648.934;4583264.515
0;425;41.0;8:0:0;8:0:0_41:0:0;8.0;41:0:0;0;ctr10;415816.167;4539128.623
1;425;41.0;8:5:0;8:5:0_41:0:0;8.083333333333334;41:0:0;0;ctr10;422824.954;4539051.696
2;425;41.0;8:10:0;8:10:0_41:0:0;8.166666666666666;41:0:0;0;ctr10;429833.745;4538981.406
3;425;41.0;8:15:0;8:15:0_41:0:0;8.25;41:0:0;0;ctr10;436842.504;4538917.774
4;425;41.0;8:20:0;8:20:0_41:0:0;8.333333333333334;41:0:0;0;ctr10;443851.225;4538860.804
0;425;41.05;8:0:0;8:0:0_41:3:0;8.0;41:3:0;1;ctr10;415879.847;4544679.18
1;425;41.05;8:5:0;8:5:0_41:3:0;8.083333333333334;41:3:0;1;ctr10;422883.343;4544602.228
2;425;41.05;8:10:0;8:10:0_41:3:0;8.166666666666666;41:3:0;1;ctr10;429886.848;4544531.916
3;425;41.05;8:15:0;8:15:0_41:3:0;8.25;41:3:0;1;ctr10;436890.327;4544468.266
4;425;41.05;8:20:0;8:20:0_41:3:0;8.333333333333334;41:3:0;1;ctr10;443893.77;4544411.283
0;425;41.1;8:0:0;8:0:0_41:6:0;8.0;41:6:0;2;ctr10;415943.588;4550229.782
1;425;41.1;8:5:0;8:5:0_41:6:0;8.083333333333334;41:6:0;2;ctr10;422941.785;4550152.807
2;425;41.1;8:10:0;8:10:0_41:6:0;8.166666666666666;41:6:0;2;ctr10;429939.993;4550082.475
3;425;41.1;8:15:0;8:15:0_41:6:0;8.25;41:6:0;2;ctr10;436938.178;4550018.808
4;425;41.1;8:20:0;8:20:0_41:6:0;8.333333333333334;41:6:0;2;ctr10;443936.328;4549961.812
0;425;41.15;8:0:0;8:0:0_41:9:0;8.0;41:9:0;3;ctr10;416007.385;4555780.429
1;425;41.15;8:5:0;8:5:0_41:9:0;8.083333333333334;41:9:0;3;ctr10;423000.271;4555703.432
2;425;41.15;8:10:0;8:10:0_41:9:0;8.166666666666666;41:9:0;3;ctr10;429993.166;4555633.082
3;425;41.15;8:15:0;8:15:0_41:9:0;8.25;41:9:0;3;ctr10;436986.035;4555569.401
4;425;41.15;8:20:0;8:20:0_41:9:0;8.333333333333334;41:9:0;3;ctr10;443978.869;4555512.395
